,title,jobSkill,source
20,"A social skill is any competence facilitating interaction and communication with others where social rules and relations are created, communicated, and changed in verbal and nonverbal ways. The process of learning these skills is called socialization. Lack of such skills can cause social awkwardness.
Interpersonal skills are actions used to effectively interact with others. Interpersonal skills relate to categories of dominance vs. submission, love vs. hate, affiliation vs. aggression, and control vs. autonomy (Leary, 1957). Positive interpersonal skills include persuasion, active listening, delegation, and stewardship, among others. Social psychology, an academic discipline focused on research relating to social functioning, studies how interpersonal skills are learned through societal-based changes in attitude, thinking, and behavior.",Social Perceptiveness,skillDescription
22,"Coordination may refer to:

Coordination (linguistics), a compound grammatical construction
Coordination complex, consisting of a central atom or ion and a surrounding array of bound molecules or ions
Coordination number or ligancy of a central atom in a molecule or crystal is the number of atoms, molecules or ions bonded to it
Language coordination, the tendency of people to mimic the language of others
Coordination (political culture), a Utopian form of political regime
Motor coordination, in animal motion
A chemical reaction to form a coordination complex
Gleichschaltung the process of Nazification in Germany after 1933, often translated as ""coordination""",Coordination,skillDescription
24,"Persuasion or persuasion arts is an umbrella term of influence.  Persuasion can attempt to influence a person's beliefs, attitudes, intentions, motivations, or behaviors.Propaganda is a form of persuasion used to persuade a large audience that have a believe in an individual or something to follow the agenda of the individual or group producing the propaganda.: 7  Coercion is a form of persuasion that influences people's actions with threats, although in some situations it can be hard to distinguish coercion from persuasion.: 37  Systematic persuasion is the process through which attitudes or beliefs are leveraged by appeals to logic and reason. Heuristic persuasion, on the other hand, is the process through which attitudes or beliefs are leveraged by appeals to habit or emotion.Persuasion is studied in many disciplines. Rhetoric is the study of modes of persuasion in speech and writing, and is often taught as a classical subject.: 46  Psychology looks at persuasion through the lens of individual behaviour and neuroscience studies the brain activity associated with this behaviour. History and political sciences are interested in the role of propaganda in shaping historical events. In business, persuasion is a process aimed at changing a person's (or a group's) attitude or behaviour toward some event, idea, object, or other person(s), by using written, spoken words or visual tools to convey information, feelings, or reasoning, or a combination thereof. Persuasion is also an often used tool in the pursuit of personal gain, such as election campaigning, giving a sales pitch, or in trial advocacy. Persuasion can also be interpreted as using one's personal or positional resources to change people.",Persuasion,skillDescription
26,"Negotiation is a dialogue between two or more people or parties intended to reach a beneficial outcome over one or more issues where a conflict exists with respect to at least one of these issues. Negotiation is an interaction and process between entities who aspire to agree on matters of mutual interest, while optimizing their individual utilities. This beneficial outcome can be for all of the parties involved, or just for one or some of them. Negotiators need to understand the negotiation process and other negotiators to increase their chances to close deals, avoid conflicts, establishing relationship with other parties and gain profit and maximize mutual gains.
It is aimed to resolve points of difference, to gain advantage for an individual or collective, or to craft outcomes to satisfy various interests. Distributive negotiations, or compromise, is conducted by putting forward a position and making concessions to achieve an agreement. The degree to which the negotiating parties trust each other to implement the negotiated solution is a major factor in determining whether negotiations are successful.
People negotiate daily, often without considering it a negotiation. Negotiation occurs in organizations, including businesses, non-profits, and within and between governments as well as in sales and legal proceedings, and in personal situations such as marriage, divorce, parenting, etc. Professional negotiators are often specialized, such as union negotiators, leverage buyout negotiators, peace negotiator, or hostage negotiators. They may also work under other titles, such as diplomats, legislators, or brokers. There is also negotiation conducted by algorithms or machines known as autonomous negotiation. For automation, the negotiation participants and process have to be modeled correctly.",Negotiation,skillDescription
28,Instruction or instructions may refer to:,Instructing,skillDescription
30,"Service-orientation is a design paradigm for computer software in the form of  services. The principles of service-oriented design stress the separation of concerns in the software. Applying service-orientation results in units of software partitioned into discrete, autonomous, and network-accessible units, each designed to solve an individual concern. These units qualify as services.",Service Orientation,skillDescription
32,"Problem solving consists of using generic or ad hoc methods in an orderly manner to find solutions to difficulties. 
Some of the problem-solving techniques developed and used in philosophy, medicine, societies, mathematics, engineering, computer science, and artificial intelligence in general are related to mental problem-solving techniques studied in psychology and cognitive sciences.",Complex Problem Solving,skillDescription
34,"Operations research (British English: operational research), often shortened to the initialism OR, is a discipline that deals with the development and application of advanced analytical methods to improve decision-making. It is sometimes considered to be a subfield of mathematical sciences. The term management science is sometimes used as a synonym.Employing techniques from other mathematical sciences, such as modeling, statistics, and optimization, operations research arrives at optimal or near-optimal solutions to complex decision-making problems. Because of its emphasis on practical applications, operations research has overlap with many other disciplines, notably industrial engineering. Operations research is often concerned with determining the extreme values of some real-world objective: the maximum (of profit, performance, or yield) or minimum (of loss, risk, or cost). Originating in military efforts before World War II, its techniques have grown to concern problems in a variety of industries.",Operations Analysis,skillDescription
36,"Design technology, or D.T., is the study, design, development, application, implementation, support and management of computer and non-computer based technologies for the express purpose of communicating product design intent and constructability. Design technology can be applied to the problems encountered in construction, operation and maintenance of a product.
At times there is cross-over between D.T. and Information Technology, whereas I.T. is primarily focused on overall network infrastructure, hardware & software requirements, and implementation, D.T. is specifically focused on supporting, maintaining and training design and engineering applications and tools and working closely with I.T. to provide necessary infrastructure, for the most effective use of these applications and tools.Within the building design, construction and maintenance industry (also known as AEC/O/FM), the product is the building and the role of D.T., is the effective application of technologies within all phases and aspects of building process. D.T. processes have adopted Building Information Modeling (BIM) to quicken construction, design and facilities management using technology. So though D.T. encompasses BIM and Integrated Project Delivery, I.P.D., it is more overarching in its directive and scope and likewise looks for ways to leverage and more effectively utilize C.A.D., Virtual Design & Construction, V.D.C., as well as historical and legacy data and systems.
D.T. is applicable to industrial and product design and the manufacturing and fabrication processes therein.
There are formal courses of study in some countries known as design and technology that focus on particular areas. In this case, the above definition still remains valid, if for instance one takes the subject textiles technology and replace the product in the above definition with textile.",Technology Design,skillDescription
38,"Material handling equipment (MHE) is mechanical equipment used for the movement, storage, control, and protection of materials, goods and products throughout the process of manufacturing, distribution, consumption, and disposal. The different types of handling equipment can be classified into four major categories: transport equipment, positioning equipment, unit load formation equipment, and storage equipment.",Equipment Selection,skillDescription
40,"Installation may refer to:

Installation (computer programs)
Installation, work of installation art
Installation, military base
Installation, into an office, especially a religious (Installation (Christianity)) or political one",Installation,skillDescription
42,"Computer programming is the process of designing and building an executable computer program to accomplish a specific computing result or to perform a particular task. Programming involves tasks such as analysis, generating algorithms, profiling algorithms' accuracy and resource consumption, and the implementation of algorithms in a chosen programming language (commonly referred to as coding). The source code of a program is written in one or more languages that are intelligible to programmers, rather than machine code, which is directly executed by the central processing unit. The purpose of programming is to find a sequence of instructions that will automate the performance of a task (which can be as complex as an operating system) on a computer, often for solving a given problem. Proficient programming thus usually  requires expertise in several different subjects, including knowledge of the application domain, specialized algorithms, and formal logic.
Tasks accompanying and related to programming include testing, debugging, source code maintenance, implementation of build systems, and management of derived artifacts, such as the machine code of computer programs. These might be considered part of the programming process, but often the term software development is used for this larger process with the term programming, implementation, or coding reserved for the actual writing of code. Software engineering combines engineering techniques with software development practices. Reverse engineering is a related process used by designers, analysts, and programmers to understand and re-create/re-implement.",Programming,skillDescription
44,"System Center Operations Manager (SCOM) is a cross-platform data center monitoring system for operating systems and hypervisors.  It uses a single interface that shows state, health and performance information of computer systems.  It also provides alerts generated according to some availability, performance, configuration or security situation being identified.  It works with Microsoft Windows Server and Unix-based hosts.",Operations Monitoring,skillDescription
46,"In telecommunication, a control operation (control function) is an operation that affects the recording, processing, transmission, or interpretation of data. 
Examples of control operations incswayam
Cjjgjjiglude a font change, or a rewind; and transmitting an end-of-transmission (EOT) control character.",Operation and Control,skillDescription
48,"Predictive maintenance techniques are designed to help determine the condition of in-service equipment in order to estimate when maintenance should be performed. This approach promises cost savings over routine or time-based preventive maintenance, because tasks are performed only when warranted. Thus, it is regarded as condition-based maintenance carried out as suggested by estimations of the degradation state of an item.The main promise of predictive maintenance is to allow convenient scheduling of corrective maintenance, and to prevent unexpected equipment failures. The key is ""the right infor equipment lifetime, increased plant safety, fewer accidents with negative impact on environment, and optimized spare parts handling.
Predictive maintenance differs from preventive maintenance because it relies on the actual condition of equipment, rather than average or expected life statistics, to predict when maintenance will be required. Typically, Machine Learning approaches are adopted for the definition of the actual condition of the system and for forecasting its future states.Some of the main components that are necessary for implementing predictive maintenance are data collection and preprocessing, early fault detection, fault detection, time to failure prediction, maintenance scheduling and resource optimization. Predictive maintenance has also been considered to be one of the driving forces for improving productivity and one of the ways to achieve ""just-in-time"" in manufacturing.",Equipment Maintenance,skillDescription
50,"Troubleshooting is a form of problem solving, often applied to repair failed products or processes on a machine or a system.  It is a logical, systematic search for the source of a problem in order to solve it, and make the product or process operational again.  Troubleshooting is needed to identify the symptoms.  Determining the most likely cause is a process of elimination—eliminating potential causes of a problem.  Finally, troubleshooting requires confirmation that the solution restores the product or process to its working state.
In general, troubleshooting is the identification or diagnosis of ""trouble"" in the management flow of a system caused by a failure of some kind.  The problem is initially described as symptoms of malfunction, and troubleshooting is the process of determining and remedying the causes of these symptoms.
A system can be described in terms of its expected, desired or intended behavior (usually, for artificial systems, its purpose).  Events or inputs to the system are expected to generate specific results or outputs.  (For example, selecting the ""print"" option from various computer applications is intended to result in a hardcopy emerging from some specific device). Any unexpected or undesirable behavior is a symptom.  Troubleshooting is the process of isolating the specific cause or causes of the symptom.  Frequently the symptom is a failure of the product or process to produce any results. (Nothing was printed, for example). Corrective action can then be taken to prevent further failures of a similar kind.
The methods of forensic engineering are useful in tracing problems in products or processes, and a wide range of analytical techniques are available to determine the cause or causes of specific failures. Corrective action can then be taken to prevent further failure of a similar kind. Preventive action is possible using failure mode and effects (FMEA) and fault tree analysis (FTA) before full-scale production, and these methods can also be used for failure analysis.",Troubleshooting,skillDescription
52,"The technical meaning of maintenance involves functional checks, servicing, repairing or replacing of necessary devices, equipment, machinery, building infrastructure, and supporting utilities in industrial, business, and residential installations. Over time, this has come to include multiple wordings that describe various cost-effective practices to keep equipment operational; these activities occur  either before or after a failure.",Repairing,skillDescription
54,"Quality control (QC) is a process by which entities review the quality of all factors involved in production. ISO 9000 defines quality control as ""A part of quality management focused on fulfilling quality requirements"".This approach places emphasis on three aspects (enshrined in standards such as ISO 9001):
Elements such as controls, job management, defined and well managed processes, performance and integrity criteria, and identification of records
Competence, such as knowledge, skills, experience, and qualifications
Soft elements, such as personnel, integrity, confidence, organizational culture, motivation, team spirit, and quality relationships.Inspection is a major component of quality control, where physical product is examined visually (or the end results of a service are analyzed). Product inspectors will be provided with lists and descriptions of unacceptable product defects such as cracks or surface blemishes for example.",Quality Control Analysis,skillDescription
56,"Cognitive biases are systematic patterns of deviation from norm and/or rationality in judgment. They are often studied in psychology, sociology and behavioral economics.Although the reality of most of these biases is confirmed by reproducible research, there are often controversies about how to classify these biases or how to explain them. Several theoretical causes are known for some cognitive biases, which provides a classification of biases by their common generative mechanism (such as noisy information-processing). Gerd Gigerenzer has criticized the framing of cognitive biases as errors in judgment, and favors interpreting them as arising from rational deviations from logical thought.Explanations include information-processing rules (i.e., mental shortcuts), called heuristics, that the brain uses to produce decisions or judgments. Biases have a variety of forms and appear as cognitive (""cold"") bias, such as mental noise, or motivational (""hot"") bias, such as when beliefs are distorted by wishful thinking. Both effects can be present at the same time.There are also controversies over some of these biases as to whether they count as useless or irrational, or whether they result in useful attitudes or behavior. For example, when getting to know others, people tend to ask leading questions which seem biased towards confirming their assumptions about the person. However, this kind of confirmation bias has also been argued to be an example of social skill; a way to establish a connection with the other person.Although this research overwhelmingly involves human subjects, some findings that demonstrate bias have been found in non-human animals as well. For example, loss aversion has been shown in monkeys and hyperbolic discounting has been observed in rats, pigeons, and monkeys.",Judgment and Decision Making,skillDescription
58,"Systems analysis is ""the process of studying a procedure or business to identify its goal and purposes and create systems and procedures that will efficiently achieve them"". Another view sees system analysis as a problem-solving technique that breaks down a system into its component pieces, and how well those parts work and interact to accomplish their purpose.The field of system analysis relates closely to requirements analysis or to operations research. It is also ""an explicit formal inquiry carried out to help a decision maker identify a better course of action and make a better decision than they might otherwise have made.""The terms analysis and synthesis stems from Greek, meaning ""to take apart"" and ""to put together,"" respectively. These terms are used in many scientific disciplines, from mathematics and logic to economics and psychology, to denote similar investigative procedures. The analysis is defined as ""the procedure by which we break down an intellectual or substantial whole into parts,"" while synthesis means ""the procedure by which we combine separate elements or components to form a coherent whole."" System analysis researchers apply methodology to the systems involved, forming an overall picture.
System analysis is used in every field where something is developed. Analysis can also be a series of components that perform organic functions together, such as system engineering. System engineering is an interdisciplinary field of engineering that focuses on how complex engineering projects should be designed and managed.",Systems Analysis,skillDescription
60,"Trusted Computer System Evaluation Criteria (TCSEC) is a United States Government Department of Defense (DoD) standard that sets basic requirements for assessing the effectiveness of computer security controls built into a computer system. The TCSEC was used to evaluate, classify, and select computer systems being considered for the processing, storage, and retrieval of sensitive or classified information.The TCSEC, frequently referred to as the Orange Book, is the centerpiece of the DoD Rainbow Series publications. Initially issued in 1983 by the National Computer Security Center (NCSC), an arm of the National Security Agency, and then updated in 1985, TCSEC was eventually replaced by the Common Criteria international standard, originally published in 2005.",Systems Evaluation,skillDescription
62,"Time management is the process of planning and exercising conscious control of time spent on specific activities, especially to increase effectiveness, efficiency, and productivity. It involves a juggling act of various demands upon a person relating to work, social life, family, hobbies, personal interests, and commitments with the finiteness of time. Using time effectively gives the person ""choice"" on spending or managing activities at their own time and expediency. Time management may be aided by a range of skills, tools, and techniques used to manage time when accomplishing specific tasks, projects, and goals complying with a due date. Initially, time management referred to just business or work activities, but eventually, the term broadened to include personal activities as well. A time management system is a designed combination of processes, tools, techniques, and methods. Time management is usually a necessity in any project management as it determines the project completion time and scope. It is also important to understand that both technical and structural differences in time management exist due to variations in cultural concepts of time. 
The major themes arising from the literature on time management include the following:

Creating an environment conducive to effectiveness (in terms of cost-benefit, quality of results, and time to complete tasks or project)
Setting of priorities
The related process of reduction of time spent on non-priorities
Implementation of goals",Time Management,skillDescription
64,"Financial management  may be defined as the area or function in an organization which is concerned with profitability, expenses,  cash and credit, so that the ""organization may have the means to carry out its objective as satisfactorily as possible;""  
the latter often defined as maximizing the value of the firm for stockholders. 
Financial managers (FM) are specialized professionals directly reporting to senior management, often the financial director (FD); the function is seen as 'Staff', and not 'Line'.",Management of Financial Resources,skillDescription
66,"Materials management is a core supply chain function and includes supply chain planning and supply chain execution capabilities. Specifically, materials management is the capability firms use to plan total material requirements.  The material requirements are communicated to procurement and other functions for sourcing.  Materials management is also responsible for determining the amount of material to be deployed at each stocking location across the supply chain, establishing material replenishment plans, determining inventory levels to hold for each type of inventory (raw material, WIP, finished goods), and communicating information regarding material needs throughout the extended supply chain.
Typical roles in Materials Management include: Materials Manager, Inventory Control Manager, Inventory Analyst, Material Planner, Expediter and emerging hybrid roles like ""buyer planner"".
The primary business objective of Materials Management is assured supply of material, optimum inventory levels and minimum deviation between planned and actual results.",Management of Material Resources,skillDescription
68,"Human resource management (HRM or HR) is the strategic approach to the effective and efficient management of people in a company or organization such that they help their business gain a competitive advantage. It is designed to maximize employee performance in service of an employer's strategic objectives. Human resource management is primarily concerned with the management of people within organizations, focusing on policies and systems. HR departments are responsible for overseeing employee-benefits design, employee recruitment, training and development, performance appraisal, and reward management, such as managing pay and employee-benefits systems. HR also concerns itself with organizational change and industrial relations, or the balancing of organizational practices with requirements arising from collective bargaining and governmental laws.The overall purpose of human resources (HR) is to ensure that the organization is able to achieve success through people. HR professionals manage the human capital of an organization and focus on implementing policies and processes. They can specialize in finding, recruiting, selecting, training, and developing employees, as well as maintaining employee relations or benefits. Training and development professionals ensure that employees are trained and have continuous development. This is done through training programs, performance evaluations, and reward programs. Employee relations deals with the concerns of employees when policies are broken, such as cases involving harassment or discrimination. Managing employee benefits includes developing compensation structures, parental leave programs, discounts, and other benefits for employees. On the other side of the field are HR generalists or business partners. These HR professionals could work in all areas or be labour relations representatives working with unionized employees.
HR is a product of the human relations movement of the early 20th Century, when researchers began documenting ways of creating business value through the strategic management of the workforce. It was initially dominated by transactional work, such as payroll and benefits administration, but due to globalization, company consolidation, technological advances, and further research, HR as of 2015 focuses on strategic initiatives like mergers and acquisitions, talent management, succession planning, industrial and labor relations, and diversity and inclusion. In the current global work environment, most companies focus on lowering employee turnover and on retaining the talent and knowledge held by their workforce. New hiring not only entails a high cost but also increases the risk of a new employee not being able to adequately replace the position of the previous employee. HR departments strive to offer benefits that will appeal to workers, thus reducing the risk of losing employee commitment and psychological ownership.",Management of Personnel Resources,skillDescription
